#{"t_start": 1626350966.202949, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
396.0,4748,108.568105
440.0,5735,202.272872
352.0,5763,296.174552
660.0,7299,415.237843
396.0,5971,514.64329
440.0,5725,606.904116
264.0,4051,672.229723
440.0,4873,750.830268
308.0,3492,807.459445
396.0,5473,958.234099
396.0,5985,1055.849288
308.0,4299,1126.019578
440.0,4710,1202.175481
264.0,4481,1275.15247
264.0,4172,1342.348864
484.0,5260,1428.060691
440.0,5615,1519.189989
396.0,5755,1612.710741
528.0,7803,1784.601197
220.0,4917,1864.458244
220.0,4301,1934.19431
572.0,6325,2037.36391
396.0,4581,2111.616111
264.0,4119,2178.4519
660.0,7995,2309.702388
88.0,4219,2377.930175
308.0,3455,2433.583626
440.0,6383,2536.920184
264.0,5181,2667.514462
440.0,4845,2745.89774
352.0,4277,2814.963857
308.0,4503,2888.20355
132.0,3487,2944.897202
528.0,6165,3045.440861
572.0,6957,3158.498852
528.0,5713,3252.76861
616.0,5473,3346.010847
660.0,6323,3452.592447
804.0,8415,3650.905814
352.0,4564,3726.60997
176.0,3967,3792.615956
996.0,7950,3923.581695
572.0,6949,4038.405538
528.0,5817,4135.490691
396.0,6103,4235.973717
572.0,6289,4345.919041
484.0,6691,4516.356011
484.0,6629,4640.026637
264.0,4698,4726.317226
1044.0,9185,4895.872802
220.0,4303,4975.230801
616.0,6949,5103.501331
396.0,4610,5185.682064
484.0,4777,5271.498974
660.0,10029,5492.074433
484.0,4031,5558.147007
352.0,4375,5631.419087
220.0,5477,5721.290383
572.0,6427,5826.697121
132.0,3875,5890.074795
264.0,3967,5955.094194
220.0,3979,6020.49011
220.0,4261,6089.858493
264.0,3700,6151.369423
660.0,7218,6334.23649
264.0,3740,6399.612084
396.0,5497,6499.714781
176.0,4663,6579.340537
528.0,6153,6690.832946
660.0,7865,6831.679119
352.0,5133,6923.207266
220.0,3929,6992.529548
440.0,4491,7071.259417
396.0,4997,7160.737798
484.0,7157,7339.006911
308.0,3751,7403.045469
616.0,5433,7494.082705
352.0,6049,7603.130918
396.0,3698,7670.005793
528.0,5337,7764.373851
352.0,4141,7839.494399
572.0,5425,7932.219626
528.0,5455,8028.983252
616.0,6519,8212.911996
616.0,6099,8321.380722
396.0,4555,8397.697248
528.0,5623,8489.759112
572.0,6336,8594.684317
572.0,5687,8696.830534
484.0,4181,8770.529773
484.0,5467,8869.355649
948.0,7905,9009.774704
