#{"t_start": 1626369421.1535647, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
220.0,3744,7.105005
264.0,4241,10.728916
264.0,5385,15.367266
308.0,4753,19.429505
220.0,4653,23.421791
660.0,7304,29.691725
220.0,4295,33.397318
396.0,6031,38.551749
308.0,4283,42.241638
396.0,5257,46.742341
220.0,4813,50.847598
660.0,8819,58.423004
396.0,5801,63.447127
440.0,5589,68.234745
484.0,6599,73.895662
132.0,4045,77.346829
264.0,4394,81.110744
352.0,4974,85.363205
220.0,4173,88.924248
616.0,6424,94.411992
440.0,7237,100.582428
264.0,3713,103.765627
528.0,4853,107.925274
176.0,4433,111.754889
660.0,7490,118.224125
308.0,4665,122.216539
528.0,6834,128.088908
440.0,4447,131.899675
308.0,6307,137.305266
396.0,5541,142.041264
308.0,4693,146.083663
396.0,5737,151.015886
308.0,4695,155.035702
440.0,5019,159.350424
572.0,6879,165.289349
352.0,4821,169.408131
484.0,5601,174.185705
264.0,4293,177.875135
440.0,6165,183.139678
660.0,7747,189.771196
528.0,5244,194.326007
352.0,4155,197.890759
852.0,11088,207.434284
528.0,5320,212.019803
264.0,4829,216.142671
308.0,4097,219.658358
308.0,4315,223.371368
396.0,4436,227.152375
440.0,6612,232.821864
352.0,6203,238.639759
352.0,4683,243.595788
352.0,5611,248.518091
176.0,4063,252.167163
308.0,4471,256.052351
132.0,4816,260.216269
308.0,7111,266.360716
264.0,4229,270.050956
572.0,8243,277.221519
264.0,4041,280.712399
176.0,3464,283.745228
572.0,7503,290.155034
528.0,4983,294.421134
220.0,3661,297.599544
352.0,4861,301.830528
308.0,4469,305.645759
484.0,5357,310.241694
396.0,5909,315.306348
264.0,5001,319.593722
440.0,7326,325.884895
528.0,7477,332.307101
528.0,8790,339.850763
572.0,6163,345.246584
308.0,4449,349.080489
660.0,8283,361.45427
308.0,5148,370.1675
220.0,5919,379.822634
308.0,6405,389.903832
484.0,5859,399.727109
352.0,5127,408.264259
44.0,4001,414.749458
176.0,3483,420.336401
484.0,4629,427.921231
528.0,4753,435.395453
264.0,4063,441.764587
900.0,8771,455.464601
132.0,3570,461.102136
308.0,5557,470.173973
572.0,6383,479.891107
396.0,5259,487.853393
396.0,4255,494.552368
352.0,5687,503.294366
220.0,4037,509.520156
528.0,7119,520.338409
264.0,4761,527.643991
220.0,4389,534.425798
176.0,4681,541.807765
572.0,6389,551.565074
308.0,4675,558.840401
352.0,4909,566.37464
176.0,5047,574.115213
220.0,3747,579.911964
220.0,4114,586.29945
484.0,6366,596.179272
220.0,4291,602.936279
440.0,5473,611.382165
396.0,5581,620.227331
264.0,5491,628.624609
176.0,3689,634.344976
660.0,9757,649.618796
352.0,4359,656.401099
264.0,4258,663.179929
352.0,7959,675.604727
528.0,7487,687.194756
264.0,5911,697.892977
352.0,6999,709.505326
396.0,5371,718.088108
396.0,5701,729.310106
308.0,6503,739.824312
616.0,6617,750.246757
352.0,6645,760.771379
132.0,4453,767.894433
528.0,6387,778.202302
264.0,7027,789.470428
308.0,3907,795.703659
308.0,3967,802.035594
352.0,6139,811.904502
440.0,5663,820.934677
352.0,6641,831.592722
352.0,5897,841.07376
708.0,15469,865.895083
132.0,5209,874.285912
396.0,6985,885.700854
220.0,4379,892.62898
572.0,7565,904.850417
352.0,4559,912.22792
352.0,7051,923.661214
132.0,7023,934.869322
396.0,6479,945.412297
440.0,6327,955.631382
440.0,6054,965.356452
264.0,5255,973.906002
264.0,4739,981.709071
660.0,8401,995.153149
396.0,7025,1095.166412
528.0,8005,1108.109033
