#{"t_start": 1626360142.3680408, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
572.0,6465,67.62766
804.0,7612,135.197559
572.0,4525,175.304139
176.0,4037,210.524097
132.0,3759,242.639278
308.0,5323,287.626044
484.0,5226,331.53857
308.0,3826,363.401257
176.0,4437,401.001309
484.0,5417,446.945327
396.0,4708,486.559825
352.0,6275,539.384873
660.0,6321,595.423095
440.0,7365,659.574283
396.0,5912,709.728163
220.0,4629,748.882474
440.0,5517,795.190053
660.0,7767,861.438706
528.0,6064,980.363117
132.0,4433,1017.814503
220.0,3618,1048.007506
996.0,9481,1127.577677
484.0,6681,1183.443826
220.0,4071,1217.390604
352.0,4139,1251.914719
616.0,7545,1315.070206
756.0,10380,1404.062223
528.0,6123,1456.616011
220.0,4415,1493.407526
660.0,8415,1564.711995
804.0,7517,1628.054288
660.0,6403,1682.461511
264.0,4929,1723.952749
308.0,5875,1773.754783
440.0,4465,1895.579651
484.0,4303,1932.542834
708.0,10267,2018.654061
660.0,10243,2108.405831
308.0,4137,2143.18144
660.0,8076,2211.705154
660.0,6851,2269.475097
660.0,7889,2337.128739
660.0,7981,2404.852483
804.0,11175,2500.321229
572.0,6835,2557.697356
804.0,9829,2641.233277
308.0,3843,2674.01845
660.0,7643,2811.276186
756.0,8415,2883.238531
264.0,4317,2919.414029
660.0,7425,2982.58147
440.0,6075,3033.463901
660.0,8731,3107.077173
308.0,4493,3144.80075
572.0,7645,3208.837181
528.0,6153,3260.364753
220.0,4273,3296.022428
264.0,3985,3329.597438
572.0,7165,3389.920275
176.0,4545,3427.672831
804.0,10003,3512.310487
572.0,5047,3554.59631
484.0,5499,3600.242241
396.0,6247,3653.119548
308.0,3777,3764.551498
708.0,8077,3832.707837
396.0,6523,3887.993832
660.0,7881,3954.484967
440.0,6374,4008.869462
440.0,6673,4065.334011
308.0,4259,4101.076769
660.0,7523,4165.013252
396.0,4287,4201.112457
352.0,5275,4245.468026
440.0,6886,4303.547492
572.0,5791,4353.017913
264.0,3407,4381.072952
396.0,5575,4428.161444
264.0,3924,4461.498598
396.0,5635,4508.303261
660.0,7045,4568.039388
352.0,4221,4669.429567
572.0,6707,4725.941456
660.0,7549,4790.104423
176.0,3707,4821.238436
572.0,7364,4883.122439
220.0,3763,4915.29666
660.0,6185,4967.543076
660.0,8821,5042.432858
396.0,4706,5081.935665
1380.0,12493,5186.951252
572.0,5777,5235.71906
308.0,3623,5266.045835
660.0,8199,5335.769757
660.0,6370,5390.126897
660.0,8371,5460.927941
708.0,6731,5604.519119
220.0,3619,5635.094005
308.0,4046,5669.37037
708.0,8775,5743.606048
440.0,6435,5797.468111
660.0,8857,5871.681958
264.0,3312,5899.868077
308.0,3661,5930.392483
528.0,4967,5971.515922
756.0,8481,6043.325968
440.0,4775,6082.823583
660.0,7937,6150.317775
528.0,6529,6204.775725
264.0,3929,6237.822999
660.0,7417,6300.178991
484.0,5199,6343.7968
660.0,8005,6411.394369
660.0,8125,6552.083903
572.0,6577,6606.816027
660.0,4723,6646.291009
708.0,6348,6699.977114
484.0,6065,6750.993857
572.0,6503,6805.492683
660.0,5551,6852.336281
396.0,3635,6883.084703
484.0,4317,6919.7494
660.0,7841,6985.952365
660.0,8125,7054.797651
528.0,5171,7098.620118
528.0,5992,7149.484429
396.0,6029,7200.74433
660.0,5229,7244.952339
948.0,7009,7303.883378
756.0,7178,7418.034596
484.0,5675,7465.961107
308.0,4433,7503.526417
572.0,5085,7546.329908
440.0,3981,7579.265187
396.0,3528,7608.89309
660.0,6321,7662.137651
572.0,5030,7704.878104
616.0,7787,7770.461912
572.0,6222,7823.201205
572.0,4383,7860.502467
756.0,7239,7921.496825
756.0,7751,7987.072131
440.0,4835,8027.571986
660.0,6557,8083.258178
660.0,7055,8142.336233
440.0,5884,8192.291817
660.0,6469,8246.442495
660.0,6701,8365.221794
756.0,5785,8414.54653
396.0,4331,8450.696008
440.0,5175,8494.229698
660.0,6811,8551.58777
484.0,4235,8587.132961
528.0,4874,8628.546784
440.0,4827,8669.088773
484.0,5209,8713.055366
616.0,6607,8768.887112
660.0,6865,8826.764552
572.0,5724,8874.832783
308.0,4237,8911.186678
948.0,5900,8960.734915
484.0,4857,9001.616892
264.0,3428,9030.714685
660.0,5955,9081.256205
264.0,3631,9111.839313
352.0,5891,9161.201899
